product_id,product_name
428037,Tide Blue/White Detergent Bar - Pack of 10 & Free Container
477142,Cadbury Fuse Fit Cranberries & Nuts Chocolate Bar
490206,Bel Patta: 50 g Orange Marigold Flowers: 100 g Banana: 3 pieces Bel Patta + Orange Marigold Flowers + Banana Combo
381605,Anand Sweets Khara Boondi Namkeen
407625,PediaSure 7+ Specialized Nutrition for Growing Children Vanilla Health Drink
453621,Real Mango Drink - Pack of 2
543,Cadbury Dairy Milk Crackle Chocolate Bar
477345,Mee Mee Tooth & Gum Cleaning Green Finger Baby Toothbrush
494126,Omsom Surti Kolam Rice - Pack of 2
365044,Gillette Venus Comfortglide Hair Removal Women's Razor
494161,Tata Sampann Unpolished Kala Chana - Pack of 2
369021,Popular Essentials Classic Raw Sonamasuri Rice - 18 Months Old
234482,Kraft Cheddar Explosion Cheese Macaroni
155532,Palmolive Raspberry Foaming Hand Wash
493133,Nespresso Napoli Coffee Capsules
493139,Nespresso Kazaar Coffee Capsules
261375,Priya Amla Pickle
377958,Engage Blush Women's Deodorant - Pack of 2
447742,Beverly Hills Polo Club No. 2 Women's Deodorant
485246,Pigeon Perislastic Feeding Nipple (M) - Pack of 2
441072,Himalaya Pure Hands Tulsi & Aloe Moisturizing Hand Wash
424288,Borges Fusilli Pasta Mini - Pack of 2
487346,Barilla Gnocchetti Pasta
489441,Wow Skin Science Red Onion Black Seed Oil Shampoo - Pack of 2
491804,Wow Skin Science Amla Shampoo
495258,Praakritik Natural Himalayan Pink Salt - Pack of 2
495239,Whole Farm Pesticide-Free Proso Millet - Pack of 2
594,Pringles Original Potato Chips
466076,Colombian Brew Coffee 3 in 1 Instant Coffee Premix (Cappuccino)
13453,Organic Tattva Organic Brown Basmati Rice
491760,"Choostix Dog Brush (Double Sided, Large)"
425786,Colgate Natural Fruit Flavour Toothpaste for Kids (0-2 Years)
377466,Vanish Oxi Action Fabric Stain Remover - Pack of 2
442963,Wow Skin Science Onion Oil with Comb
376121,Kitchen Xpress Wheat Daliya
482377,Morelli Olive Taggiasche Germ Wheat Pasta
488270,Dr. Beckmann Fruit & Drink Stain Remover
489203,Gainda Phenyl (White) - Pack of 2
489188,Scotch Brite Sponge Wipe - Pack of 2
381022,Bhagirathi Rajgira Flour
492553,Bhagirathi Wade Flour - Pack of 2
3899,Dry Gucchi Mushroom
24743,Tide Double Power Lemon & Mint Detergent Powder
481830,Gulab Mini Bhakarwadi - Pack of 2
428030,Tide White Detergent Bar - Pack of 5
139560,Trixie Kokosol Coconut Oil Dog Shampoo
106786,Ching's Secret Red Chilli Sauce
477623,TGFC Curry Cut Mutton
556,Cadbury Bournville 50% Dark Chocolate (Rich Cocoa)
490298,Petvit Tick Repellent Powder for Pets
477323,Aptagrow Chocolate Flavour Health Drink (For 3+ Years)
362127,Blueberry
243715,Maybelline Colossal Super Black Kajal
456771,Biotique Bio Almond Oil Nourishing Soap 150 g - Pack of 2
464274,Jerhigh Dog Treat Sticks (with Real Chicken and Spinach)
493709,GM Foods Poha - Pack of 2
481456,Happa Organic Apples and Mangoes Fruit Puree + Happa Organic Sweet Potatoes Mangoes and Pears Fruit Puree Combo
409232,SaveMore Wiper
485748,Gangaur Fine Besan - Pack of 2
490438,Satyam Besan - Pack of 2
492643,Town Grocer Sooji - Pack of 2
445708,Aravi Flexible Cleaning Duster (Microfiber)
489734,Bombae Hair Removal Disposable Women's Razor - Pack of 2
447877,Santoor Classic Hand Wash - Pack of 3
241421,MTR Badam Flavoured Milk
478904,Paan's King Chocolate Paan
478053,"Happa Organic Mix Porridge (Sprouted Ragi, Almond and Dates Porridge)"
424670,4700BC Sriracha Lime Cheese Popcorn - Pack of 2
288497,Pedda Rasalu Mango
19281,Haldiram's Gupshup Peanut Namkeen
443549,Iceberg Lettuce
368627,Dash Dustpan (Plastic)
488292,Cif Cream Multi Purpose Cleaner - Pink Flower
496058,Fruit Box & Co. Windsor Fruit Tray II
474422,Oreo Choco Vanilla Dutch Cocoa Wafer Bar
103916,"Jabsons Roasted Peanuts, Nimboo Pudina"
366189,Sensodyne Deep Clean Sensitive Toothpaste
478052,Happa Organic Sweet Potatoes Mangoes and Pears Fruit Puree
479991,Heinz Pear Puree
416579,Vim Lemon Dishwash Bar - Pack of 4
484543,Gainda Extreme Power Toilet Cleaner - Pack of 2
370011,Ayush Natural Fairness Saffron Soap 4x100 g
477110,Rostaa Omani Dates
97251,Khadi Natural Amla & Bhringraj Hair Cleanser
392275,Haldiram's Nagpur Murukku
300,Mirinda Soft Drink
442167,Disano Pastalicious Elbows Domestic Pasta
319868,Safe Harvest Red Poha
93025,Tops Gold Khatta Meetha Pickle
282969,Biotique Dandelion Youth Anti-Ageing Serum
483652,Ching's Secret Dark Soy Sauce - Pack of 2
445598,Pears Pure And Gentle With 98 % Pure Glycerin & Natural Oils Washes Away Germs Hand Wash - Pack of 2
442160,Organic India Organic Jaggery Powder
487033,Panzani Ristorante Penne Rigate Pasta
489664,Medimix Ayurvedic Nature Cool Soap - Buy 4 Get 1 Free - Pack of 2
490521,TIGI Bed Head Urban Anti+Dotes Shampoo
495176,24 Mantra Organic Mustard Oil - Pack of 2
496081,Savlon Moisturising Glycerin Soap
13547,Borges Penne Rigate Mini Pasta
472828,Dancing Leaf Egyptian Mint Black Tea Bags
479380,Aplus Kala Chana
482688,Toni&Guy Volume Addiction Shampoo
495693,Mee Mee Multi Storage Food Container (Microwavable)
392680,Flair Dustbin (Plastic)
39436,Sunlight Detergent Bar
396907,Surf Excel Easy Wash Liquid Detergent
482888,Sugar Free D'Lite Dark Zesty Orange Flavour Chocolate (Naturally Sweetned) - Pack of 2
353,Real Fruit Power Mixed Fruit Juice 1 l
496717,Street Wear Stay On Full Cover Foundation (Natural Honey)
459706,Savlon Cool Hexa Soap - Buy 4 Get 1 Free
477138,Rostaa Turkish Delight Assorted Dry Fruits
492855,VSR Maida - Pack of 3
479354,Aplus Maida
483479,"Happa Organic Mix Porridge (Sprouted Ragi, Almond and Dates Porridge) - Pack of 3"
485554,Hellmann's Veg Mayonnaise - Pack of 2
438988,Wingreens Farms Italian Herb Mayonnaise
478959,Praakritik Natural Paan Gulkand
422754,Borges Spaghetti Pasta - Pack of 2
479713,Milka Tripple Caramel Chocolate
445705,Paper Boat Swing Pulpy Orange Juice
479890,Milka Milkinis Chocolate
485518,Cornitos Rajma Crusties Lemon Chili Puffs - Pack of 2
438857,Long Brinjal
401185,Durex Mutual Climax Condom
494834,Aplus Arhar Dal/Tur - Pack of 3
1019,"Krack Heel Repair, Ayurvedic Foot Cream"
410809,Kesh King Scalp & Hair Medicine Anti Hairfall Shampoo
490635,Darkins Coffee 63% Dark Chocolate
491385,Godiva Sea Salt Dark Chocolate Bar
490430,Uttam Maida - Pack of 2
389769,GMC Corn Flour (Starch)
486757,Patanjali Honey - Pack of 2
486738,Baidyanath Honey 500 g - Pack of 2
488055,Sapphire Rosanno Macaroni Pasta
490484,Sebamed Anti Hairloss Shampoo
495117,Tong Garden Black Pepper Cashewnut - Pack of 2
