product_id,order_count
485560,39
481362,38
482551,38
482987,38
482986,37
394646,37
466184,37
405006,36
475900,36
483265,36
484465,35
486398,35
254121,35
476959,34
483085,34
447198,34
485746,34
423358,33
482434,33
485643,33
483834,32
464122,32
488166,32
440248,32
431418,32
486402,32
482167,32
407652,32
456788,32
485533,32
267631,32
484302,31
481618,31
484121,31
487178,31
460025,31
104459,31
484482,30
482618,30
486033,30
416677,30
486030,30
480905,30
435077,29
483347,29
482107,28
463284,28
391918,28
445686,28
484099,28
403903,27
406888,27
482281,27
458956,27
485012,27
481557,27
486035,27
436933,27
468239,26
482140,26
484114,26
484228,26
463283,25
479779,25
483467,25
481363,25
484300,25
482288,25
466189,25
431621,25
384948,24
484752,24
484124,24
56864,24
483214,24
487179,24
407653,23
482743,23
486014,23
482286,23
414177,23
482916,23
437962,23
480041,23
402602,22
401961,22
357644,22
429485,22
483130,22
477817,21
53485,21
458957,21
483221,21
470482,21
486032,21
406574,20
484122,20
482541,20
14244,20
482758,20
485768,20
481369,20
482741,19
486036,19
482518,19
400720,19
484329,19
476913,19
480906,19
481288,19
486034,19
481364,18
480463,18
480253,18
406691,18
480040,18
483431,18
457270,18
483132,18
468291,18
434439,18
457543,18
481365,17
483422,17
457911,17
477195,17
5859,17
477200,17
394601,17
447257,17
105485,17
485564,16
483429,16
438385,16
482744,16
484150,16
351195,16
379864,16
406689,15
482619,15
479050,15
484169,15
485970,15
477381,15
455224,15
480990,15
403490,15
439968,15
67782,15
425663,15
464080,15
428641,15
355054,14
485653,14
487155,14
457465,14
484241,14
476982,14
486040,14
23463,14
483219,14
483689,14
484140,14
484024,13
484112,13
405848,13
480850,13
429850,13
484116,13
468117,13
480255,12
485016,12
483199,12
233816,12
478908,12
428987,12
829,12
482557,12
469954,12
428990,12
400342,12
438998,12
485795,12
483580,12
484332,12
228,12
409622,12
482264,11
482269,11
39079,11
438800,11
483413,11
479154,11
428876,11
486193,11
485672,11
393828,11
424300,11
405838,11
484006,11
484110,11
200953,11
10730,11
476708,11
428868,11
485575,10
483172,10
480250,10
484870,10
369106,10
447199,10
15374,10
484904,10
392034,10
466183,10
479155,10
484018,10
394661,10
484113,10
484191,10
399901,10
484155,10
484146,10
482267,10
483425,9
403252,9
35537,9
482737,9
457463,9
481286,9
486031,9
457467,9
438363,9
409235,9
225638,9
41275,9
210941,9
483197,9
95,9
428986,9
484281,9
393934,9
475868,9
483367,9
483688,9
400436,9
387361,9
391814,9
480837,9
484301,9
485077,9
482493,8
485900,8
485447,8
40979,8
477006,8
484100,8
439975,8
484960,8
486164,8
486198,8
486210,8
139597,8
484014,8
484012,8
31138,8
370151,8
481248,8
481250,8
457466,8
392038,8
482143,8
480987,8
481089,8
484032,7
482106,7
486188,7
487896,7
394652,7
480042,7
483586,7
457351,7
485257,7
482576,7
830,7
482141,7
483421,7
483391,7
388488,7
320671,7
486013,7
485646,7
482139,7
482265,7
483127,7
286090,7
484115,7
482262,7
482285,6
482742,6
483809,6
483372,6
484311,6
483996,6
485764,6
486172,6
484080,6
483218,6
484120,6
486074,6
483430,6
484028,6
482740,6
483131,6
483426,6
479989,6
26629,6
32155,6
479605,6
479606,6
383662,6
438812,6
478692,6
476766,6
286505,6
479630,6
455229,6
19541,6
379849,6
457883,6
439230,6
481230,6
477079,6
468116,6
302726,6
482276,5
486189,5
475633,5
484143,5
438204,5
483424,5
17491,5
476518,5
476522,5
484159,5
484109,5
484259,5
484154,5
485551,5
486211,5
487181,5
485532,5
483579,5
445718,5
17537,5
486333,5
41455,5
476972,5
483902,5
481397,5
468216,5
481251,5
393202,5
480988,5
480907,5
484029,5
484030,5
470484,5
483180,5
460026,5
483427,5
479602,5
479840,5
422855,5
479642,5
476769,5
476768,5
400583,5
439973,5
485636,4
35567,4
476765,4
358489,4
484229,4
483337,4
484170,4
475870,4
379852,4
391615,4
468217,4
470485,4
484692,4
484310,4
388572,4
457045,4
484303,4
484954,4
402773,4
484275,4
483233,4
483302,4
455333,4
482861,4
482854,4
484208,4
485148,4
484267,4
482759,4
379850,4
483269,4
375809,4
375219,4
318332,4
467428,4
482290,4
482498,4
484123,4
486195,4
59504,4
486197,4
183034,4
479637,4
483581,4
479636,4
482203,4
484035,4
410854,4
483587,4
149676,4
411943,4
413425,4
141128,4
479610,4
484085,4
407440,4
483835,4
484034,4
486162,4
484199,4
477736,4
404657,4
300717,4
477854,4
440062,4
481252,4
482142,4
481088,4
478962,4
486165,4
424282,4
483423,4
77,4
139596,4
483206,3
393827,3
398857,3
42806,3
483998,3
483993,3
428538,3
400343,3
483748,3
402755,3
484201,3
484299,3
483315,3
445140,3
484182,3
392711,3
445457,3
404084,3
438862,3
483420,3
484141,3
483318,3
